,Unnamed: 0,Nombre,Página Web,Email,Entidad,Municipio,Enlace SIC,Descripción
0,0,Pinturas Rupestres de la Sierra de San Francisco,http://www.patrimonio-mexico.inah.gob.mx/,,Baja California Sur,Mulegé,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=22,"Desde el siglo 100 aC hasta el 1300 dC, la Sierra de San Francisco, en la reserva de El Vizcaíno, en Baja California, fue el hogar de un pueblo que ya ha desaparecido pero que dejó una de las más destacadas colecciones de pinturas rupestres en el mundo. Se encuentra notablemente bien conservada debido al clima seco y la inaccesibilidad del sitio. Muestra figuras humanas y muchas especies animales, ilustra la relación entre los seres humanos y su medio ambiente, sin duda estas pinturas revelan una cultura altamente sofisticada. Su composición y tamaño, así como la precisión de los contornos y la variedad de colores, pero sobre todo el número de sitios, hacen de este un impresionante testimonio de una singular tradición artística."
1,1,Santuario de Ballenas en Lagunas de Vizcaíno ,http://www.patrimonio-mexico.inah.gob.mx/,,Baja California Sur,Mulegé,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=18,"Situado en la parte central de la península de Baja California, el santuario contiene ecosistemas excepcionalmente interesantes. Las lagunas costeras de Ojo de Liebre y San Ignacio son importantes sitios de invernada y reproducción de la ballena gris, la foca del puerto o moteada, el lobo marino de California, el elefante-foca del norte y la ballena azul. Las lagunas son también el hogar de cuatro especies de tortugas marinas en peligro de extinción."
2,2,Islas y Áreas protegidas del Golfo de California ,http://www.patrimonio-mexico.inah.gob.mx/,,Baja California Sur,Los Cabos,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=24,"El sitio se compone de 244 islas, islotes y zonas costeras que se encuentran en el Golfo de California en el noroeste de México. El Golfo de California y sus islas han sido considerados como un laboratorio natural para la investigación en el campo de la especiación. Además, casi todos los procesos oceanográficos importantes que ocurren en los océanos del planeta, están presentes en este espacio, dándole extraordinaria importancia para el estudio. Es un lugar de una sorprendente belleza natural por el dramatismo del escenario formado por islas escarpadas con altos acantilados y playas de arena, que contrastan con la brillante reflexión del desierto y las aguas turquesa circundantes. Es el hogar de 695 especies de plantas vasculares, más que en cualquier sitio marino o insular contemplado en la Lista del Patrimonio Mundial. Igualmente excepcional es el número de especies de peces: 891, de las cuales 90 de ellas son endémicas. El sitio contiene además el 39% del total mundial de especies de mamíferos marinos y un tercio de las especies de cetáceos del mundo."
3,3,"Zonas de Monumentos Históricos, Ciudad Fortificada de Campeche ",http://www.patrimonio-mexico.inah.gob.mx/,,Campeche,Campeche,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=20,"Campeche es el típico ejemplo de una ciudad portuaria de la colonia española en el Nuevo Mundo. El centro histórico ha mantenido sus muros exteriores y el sistema de fortificaciones, diseñados para defender este puerto contra los ataques desde el mar. El sistema de fortificaciones de Campeche, un eminente ejemplo de la arquitectura militar de los siglos 17 y 18, es parte de un sistema defensivo creado por los españoles para proteger los puertos del Mar Caribe de los ataques piratas."
4,4,Antigua Ciudad Maya y los bosques tropicales protegidos de Calakmul,http://www.patrimonio-mexico.inah.gob.mx/,,Campeche,Calakmul,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=19,"Calakmul, enclave maya de gran importancia ubicado en la profundidad del bosque tropical de las Tierras Bajas del sur de México, desempeñó un papel clave en la historia de esta región durante más de doce siglos. Su estructuras imponentes y las características de su diseño en general están notablemente bien conservadas y dan una vívida imagen de la vida en una antigua capital Maya."
5,5,Archipiélago de Revillagigedo,http://whc.unesco.org/en/list/1510,,Colima,,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=39,"El Archipiélago de Revillagigedo quedó inscrito en la lista del patrimonio mundial natural de la Unesco, debido a sus valores excepcionales en su riqueza natural terrestre y marina. Situado en el Pacífico Oriental, este archipiélago está formado por las islas de San Benedicto, Socorro y Clarión, el islote de Roca Partida y sus aguas adyacentes. Estas islas son parte de una cordillera submarina que representa la cima de volcanes que emergen sobre el nivel del mar. La mayor altitud es el pico del volcán activo conocido como Monte Evermann, en Isla Socorro, a mil 70 metros sobre el nivel del mar. Las islas se caracterizan por estar rodeada de acantilados, con zonas montañosas y volcanes interiores, así como lugares agrestes, campos de lava y crestas suaves. Sus formas topográficas son de naturaleza endógena, acumulativa, mientras que los procesos exógenos han modificado la fisonomía original de origen volcánico, principalmente en las partes central y superior, que alcanzan hasta 1.040 metros sobre el nivel del mar.
Las islas presentan un alto grado de endemismo, tanto en tierra como en las aguas circundantes, en particular en la presencia de aves. El Archipiélago de Revillagigedo está bajo la influencia de la zona tropical del Pacífico mexicano y de la zona templada-tropical de transición del Pacífico nororiental. Por lo tanto, su flora y su fauna incluye especies de la costa de la América tropical, de la región del Indo-Pacífico y de las áreas circuntropicales.
La fauna marina se caracteriza no sólo por su belleza sino también por su alta diversidad de invertebrados, en particular de crustáceos y moluscos, equinodermos como también corales. Hay 133 especies de aves registradas para las islas, de las cuales 25 son endémicas del archipiélago. También hay 22 especies de corales hermatípicos, de los cuales más de la mitad se encuentran solamente cerca de las islas oceánicas del Pacífico Oriental, y cerca de un tercio se encuentran sólo en el Archipiélago de Revillagigedo. También hay 156 especies de moluscos en las islas, 99 especies de equinodermos, 92 especies de crustáceos, tres de las cuales son endémicas. La fauna de peces del archipiélago también presenta un alto grado de riqueza de especies con al menos 321 especies, 25 de las cuales pertenecen a la elasmobranquia, con 20 especies identificadas como tiburones y cinco como mantarayas. Además, en las aguas que rodean el Archipiélago de Revillagigedo se encuentra una importante fuente de alimento para los cetáceos en tránsito en el Pacífico mexicano, tales como las 16 especies de ballenas y delfines que se han registrado en la zona."
6,6,Ciudad Prehispánica y Parque Nacional de Palenque,http://www.patrimonio-mexico.inah.gob.mx/,,Chiapas,Palenque,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=14,"Palenque es ejemplo de un santuario maya de la época clásica, se encontró en su apogeo entre 500 y 700 dC, cuando extendió su influencia a toda la cuenca del Río Usumacinta. El exquisito trabajo artesanal de los edificios, así como la ligereza de los relieves esculpidos con sus temas mitológicos maya, atestiguan el genio creativo de esta civilización."
7,7,Zona de Monumentos Arqueológicos de Paquimé,http://www.patrimonio-mexico.inah.gob.mx/,,Chihuahua,Casas Grandes,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=15,"Paquimé, Casas Grandes, que alcanzó su apogeo en los siglos 14 y 15, desempeñó un papel clave en los contactos comerciales y culturales entre los pueblos de la región sudoccidental de Estados Unidos y norte de México y las más avanzadas civilizaciones de Mesoamérica. El área que se conserva, de la cual sólo se ha excavado una parte, es una clara prueba de la vitalidad de una cultura adaptada perfectamente a su medio ambiente físico y económico, pero que desapareció repentinamente en el momento de la conquista española."
8,8,Campus Central de Ciudad Universitaria de la UNAM ,http://whc.unesco.org/en/list/1250,,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=31,"El campus central de la Universidad Nacional Autónoma de México (UNAM)situado en la zona sur de la capital mexicana, fue edificado entre 1949 y 1952, y está integrado por un conjunto de edificios, instalaciones deportivas y espacios abiertos. El proyecto de su construcción fue ejecutado por más de 60 arquitectos, ingenieros y artistas y los edificios fueron decorados con murales de David Alfaro Sequeiros y Diego Rivera, entre otros. El resultado fue la creación de un conjunto monumental ejemplar del modernismo del siglo XX que integra el urbanismo, la arquitectura, la ingeniería, el paisajismo y las bellas artes, asociando todos estos elementos con referencias a las tradiciones locales, y en particular al pasado prehispánico de México. El conjunto encarna valores sociales y culturales de trascendencia universal y se ha convertido en uno de los más importantes iconos de la arquitectura y el urbanismo modernos de América Latina, obteniendo un reconocimiento universal. Asimismo, es uno de los pocos proyectos del mundo en el que los principios defendidos por los movimientos arquitectónicos y urbanísticos modernos se aplicaron perfectamente con el objetivo, en última instancia, de ofrecer al hombre una mejor calidad de vida."
9,9,Centro Histórico de la Ciudad de México y Xochimilco,http://www.patrimonio-mexico.inah.gob.mx/,,Ciudad de México,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=patrimonio_humanidad&table_id=16,"Construída en el siglo XVI por los españoles sobre las ruinas de Tenochtitlan, antigua capital de los Aztecas, la Ciudad de México es hoy en día una de las ciudades más grandes y de mayor población en el mundo.

Tiene cinco templos Aztecas, algunos cuyas ruinas han sido claramente identificadas, la catedral (la más grande del continente) y varios edificios exquisitos de los siglos 19 y 20 tales como el Palacio de Bellas Artes.

Xochimilco está ubicado a 28 km hacia el sur de la Ciudad de México. Con su red de islas y canales artificiales, testifica el esfuerzo de los Aztecas por construir viviendas en ese entorno poco favorable. Sus peculiares estructuras urbanas y rurales, construídas desde el siglo XVI y durante el período colonial, han sido preservadas de forma excepcional."
