,Unnamed: 0,Nombre,Página Web,Email,Entidad,Municipio,Enlace SIC,Descripción
0,0,Nuestra Señora de la Asunción ,,,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=catedral&table_id=83,"La catedral de Aguascalientes se ubica al costado poniente de la plaza del Centro Histórico de la ciudad. A principios del siglo XVI es declarada Villa con el nombre de Nuestra Señora de la Asunción y se le anexan capillas.

Posteriormente el inmueble fue modificado y en su lugar se erigió un edificio en forma de planta de cruz latina con crucero de brazos cortos y cúpula central, templo que corresponde a la segunda iglesia parroquial que conserva sus características hasta fines del siglo XVI.

La tercera iglesia parroquial, que corresponde a la actual, se inicia en el año de 1704 y su construcción concluye hasta el año de 1738, fecha en que se inaugura solemnemente. La renovación incluyó el cambio de altar, en el que ahora se colocó la imagen principal de la virgen de la Asunción. La torre norte fue terminada en 1764 y la sur en 1946. Su interior posee un retablo del siglo XVIII y algunas pinturas de Miguel Cabrera.

El templo actual es de tres naves, de planta basilical con crucero corto, construido en siete tramos. El interior es de estilo neoclásico, mismo que fue restaurado a principios de los años noventa del siglo XX."
1,1,Nuestra Señora de Guadalupe ,,,Baja California,Mexicali,http://sic.gob.mx/ficha.php?table=catedral&table_id=2,Inició como parroquia el 17 de mayo de 1918 y como catedral el 17 de octubre de 1966. No es considerada monumento en términos de Ley.
2,2,Nuestra Señora de Guadalupe ,http://www.corporativovirtual.com/catedral/contenido.cfm,,Baja California,Tijuana,http://sic.gob.mx/ficha.php?table=catedral&table_id=1,"Surge el 12 de diciembre de 1902. La característica del primer establecimiento, es que fue una pequeña construcción de madera muy típica de la época de principios del siglo XX en Tijuana. En 1964 la parroquia es elevada a Catedral. No es considerada monumento en términos de Ley.

Fuente: Página web de la Diósesis de Tijuana"
3,3,Nuestra Señora de La Paz ,,,Baja California Sur,La Paz,http://sic.gob.mx/ficha.php?table=catedral&table_id=45,"Esta catedral fue construida por los dominicos en 1861. El recinto presenta una curiosa imagen elaborada con cantera, en la que resalta la sobria influencia de la arquitectura misional desarrollada en la región, aunque también muestra un adusto estilo neoclásico. En su interior conserva pinturas de buena calidad, algunas de ellas realizadas en el siglo XVIII y que proceden de varias de las misiones que fueran fundadas por los frailes jesuitas, hoy en ruinas o desaparecidas.

Fuente: Guía México desconocido, núm. 64, noviembre de 2000."
4,4,Nuestra Señora de la Purísima Concepción,https://es.wikipedia.org/wiki/Catedral_de_Campeche,,Campeche,Campeche,http://sic.gob.mx/ficha.php?table=catedral&table_id=87,"Su construcción fue ordenada por don Francisco de Montejo y León el 4 de octubre de 1540, con el título de Nuestra Señora de la Concepción. En el transcurso de los años sufrió varias modificaciones hasta el año de 1705, en el que alcanzó su extensión actual. El atractivo principal de la iglesia es su fachada, que consta de una portada de piedra labrada con dos cuerpos enmarcados por dos pilastras estriadas sobre pedestales y un sencillo remate curvado con un perillón, sobresaliendo el conjunto arquitectónico con sus esbeltas torres, formadas por tres cuerpos de plantas cuadradas y muros lisos, separadas por sencillo cornizuelo. En su interior se puede apreciar el Santo Entierro, escultura de un Cristo en una urna tallada en ébano, con incrustaciones de plata repujada. Esta Catedral está incluida en el conjunto de iglesias barrocas y es un ejemplo de la arquitectura colonial campechana.

Fuente: La Revista Peninsular"
5,5,Santiago Apóstol,,,Coahuila de Zaragoza,Saltillo,http://sic.gob.mx/ficha.php?table=catedral&table_id=13,"Es una de las mejores muestras de la arquitectura religiosa en la ciudad. Presenta una fachada de cantera con tres cuerpos, flanqueados por columnas de estilos barroco salomónico, estípite y churrigueresco.

En su interior destaca un bello retablo que incluye un frontal de plata y un púlpito decorado con motivos vegetales. Data del periodo virreinal elevada al rango de catedral."
6,6,Nuestra Señora del Carmen ,,,Coahuila de Zaragoza,Torreón,http://sic.gob.mx/ficha.php?table=catedral&table_id=12,No es considerada monumento en términos de Ley.
7,7,Nuestra Señora de Guadalupe ,,,Colima,Colima,http://sic.gob.mx/ficha.php?table=catedral&table_id=14,"La construcción data de 1862. La cubierta de la iglesia es de ladrillo en forma plana. Cuenta con varios vitrales con imágenes de santos. La cúpula no contiene escenas del Víacrusis como algunos otros templos de la época. El altar es sencillo y austero. Está flanqueado por dos pilastras tablereadas del orden Corintio. Al centro de las columnas se ubica la imagen del beato Miguel de la Mora. A un costado del altar, se ubica una capilla dedicada a este religioso, que tiene un frontón con medallón; además posee un vano de acceso con dos pilastras con basamento que soportan un entablamento. Parroquia del periodo virreinal elevada al rango de catedral."
8,8,Nuestra Señora de la Asunción,,,Chiapas,San Cristóbal de las Casas,http://sic.gob.mx/ficha.php?table=catedral&table_id=16,"En 1533 inició la construcción de este templo y de él sólo queda el campanario y una mole recubierta por la actual edificación. En 1539 fue modificada al ser promovida a catedral de la nueva diócesis de Chiapas. En 1696 la actual fachada poniente. De 1714 a 1726 se construyen las tres naves actuales, la capilla de Guadalupe y la primera sala capitular. De 1754 a 1766 adornan el espacio interior y primeros retablos barrocos de talla dorada. En 1813 hubo una restauración y remodelación neoclásica del pináculo de la fachada poniente y de la portada Sur. De 1902 a 1912 se sustituyeron las ventanas barrocas por los grandes ventanales de estilo renacentista. De 1921 a 1931 se construyó el bautisterio y modificaron las columnas corintias de los pilares barrocos de las naves. Al principio del siglo XVIII, la catedral era célebre por su artesón de madera tallada. El actual es una modesta reconstrucción artesanal, pero sin el oro y las pinturas estofadas que lució hasta el temblor de 1804. Parte del artesón del presbiterio tiene todavía piñas y otros adornos que son la obra de los ebanistas de 1813. Los dos retablos de las cabeceras de las naves laterales fueron tardíamente trasladados de la iglesia de los jesuitas después de su expulsión en 1767, los cuales datan de 1708. Hacen juego con el púlpito, de la misma fecha. Los cuatro retablos barrocos datan de la mitad del siglo XVIII. En todos estos retablos y en la sacristía hay pinturas de Correa, de Cabrera, y de pintores locales.

Fuente: Diósesis de San Cristobal de las Casas"
9,9,San José,,,Chiapas,Tapachula,http://sic.gob.mx/ficha.php?table=catedral&table_id=8,El 15 de febrero de 2009 se concluyeron los trabajos de construcción y remodelación de la Catedral de San José. La Consagración de la Catedral se efectuó el 19 de marzo de 2009.
